station_name,address,latitude,longitude,capacity_kw,total_chargers,slow_chargers,fast_chargers,outlet_chargers
논현2동 주민센터,서울 강남구 학동로43길 17(논현2동주민센터),37.51743876008797,127.03711899270318,7,1,1,0,0
국립한글박물관 지하주차장(주차장 임시폐쇄),서울 용산구 서빙고로 139(국립한글박물관),37.5210687976885,126.980486330158,0,0,0,0,0
망우역사문화공원 제3주차장,서울 중랑구 망우동 92-6,37.60005564194584,127.11204618464258,200,4,0,4,0
중랑구시설관리공단 관상복합청사 지하주차장,서울 중랑구 봉화산로 190(신내2동 관상복합청사),37.6062648526844,127.094159804999,7,1,1,0,0
중랑캠핑숲 제1주차장,서울 중랑구 송림길 160(공원관리사무소),37.60680586398247,127.11012537856622,207,5,1,4,0
미아동 공영주차장,서울 강북구 도봉로61길 46(미아동공영주차장),37.6285602032273,127.022343481526,50,1,0,1,0
노원이지센터,서울 노원구 한글비석로 97(노원 에너지제로 주택),37.6382367673341,127.072572646722,150,3,0,3,0
창3동 제1공영주차장,서울 도봉구 창동 504-21,37.6330687227881,127.041408075772,50,1,0,1,0
창2동 제4공영주차장,서울 도봉구 창동 582-22,37.641413399763,127.03671037952725,50,1,0,1,0
방학동 도깨비시장 공영주차장,서울 도봉구 방학동 632-1(방학동도깨비시장주차장),37.66430370627938,127.03389952302905,50,1,0,1,0
도봉동 실내스포츠센터,서울 도봉구 마들로 805(도봉동 실내스포츠센터),37.68178131262929,127.05041341961442,100,2,0,2,0
"영동대로85길 노상공영주차장(대명중학교 뒤, 가로등)",서울 강남구 대치동 944-24(세안빌딩),37.50639861834575,127.06037521646468,50,1,0,1,0
"영동대로85길 노상공영주차장(요금정산소 옆, 가로등)",서울 강남구 대치동 943-17(구일빌딩),37.506097330305124,127.05929205279513,50,1,0,1,0
논현로28길 노상공영주차장(가로등),서울 강남구 도곡동 517-10(ICU 미디어연구센터),37.48347063249217,127.04424504373937,50,1,0,1,0
오목교역 노상공영주차장(가로등),서울 양천구 목동 917-2(가로판매대2),37.52781440847358,126.87509708454263,50,1,0,1,0
연희동 거주자우선주차장(가로등),서울 서대문구 홍제천로 136(연희파크푸르지오),37.57603956739296,126.92831324486033,50,1,0,1,0
도봉동 거주자우선주차장(가로등),서울 도봉구 도봉로169나길 34(현대아트홈),37.678166564596225,127.04369442303079,50,1,0,1,0
휘경동 노외공영주차장(가로등),서울 동대문구 휘경동 165-11,37.5945664897766,127.063028419053,50,1,0,1,0
정릉천변 노상공영주차장(가로등),서울 동대문구 정릉천동로 125-1,37.583633170798194,127.03610458625334,50,1,0,1,0
이문동 거주자우선주차장(가로등),서울 동대문구 한천로 472(신이문역),37.60440753362293,127.06747851357437,50,1,0,1,0
한화꿈에그린아파트 거주자우선주차장(가로등),서울 광진구 자양동 97-1(광진소방서수난구조대),37.53259376707339,127.06326722321558,50,1,0,1,0
"중곡동 복개천 노상공영주차장(중곡동우체국 앞, 가로등)",서울 광진구 중곡동 43-4(중곡동 43빌딩),37.561706180008976,127.08321200580154,50,1,0,1,0
"을지로 노상공영주차장(하나은행 앞, 가로등)",서울 중구 을지로 167(하나은행),37.566684177123115,126.99660711904716,50,1,0,1,0
"을지로 노상공영주차장(신한은행 앞, 가로등)",서울 중구 을지로5가 20-1(정건벨라지오),37.56694775464232,127.00172049948975,50,1,0,1,0
청계8가 노상공영주차장(가로등),서울 중구 흥인동 162-1(가로판매대83),37.5698927704439,127.01719718259322,100,2,0,2,0
